Campagne,Region,Site,Famille,Variete,Num Parcelle,CodeTracabilite,Date,Tonnage,is_train,Recolte,day,month,year,irrigation_daily_mean,irrigation_daily_std,irrigation_daily_median,irrigation_daily_quantile_25th,irrigation_daily_quantile_75th,irrigation_daily_min,irrigation_daily_max,irrigation_cumulee_1,irrigation_cumulee_2,irrigation_cumulee_3,irrigation_cumulee_4,irrigation_cumulee_5,irrigation_cumulee_6,irrigation_cumulee_7,irrigation_cumulee_8,irrigation_cumulee_9,irrigation_cumulee_10,irrigation_cumulee_11,irrigation_cumulee_12,N_cumulee_1,P_cumulee_1,K_cumulee_1,N_cumulee_2,P_cumulee_2,K_cumulee_2,N_cumulee_3,P_cumulee_3,K_cumulee_3,N_cumulee_4,P_cumulee_4,K_cumulee_4,N_cumulee_5,P_cumulee_5,K_cumulee_5,N_cumulee_6,P_cumulee_6,K_cumulee_6,N_cumulee_7,P_cumulee_7,K_cumulee_7,N_cumulee_8,P_cumulee_8,K_cumulee_8,N_cumulee_9,P_cumulee_9,K_cumulee_9,N_cumulee_10,P_cumulee_10,K_cumulee_10,N_cumulee_11,P_cumulee_11,K_cumulee_11,N_cumulee_12,P_cumulee_12,K_cumulee_12,Date Plantation,Date Arrachage,Porte Greffe,Sup Debut Camp,Sup Plantee,Sup Arrachee,Sup Fin Camp,Tree Age,Days to Arrachage
20/21,GHARB,Ben Mansour,CLA,CLA13,11130,TR11130,2020-10-01,"36082,22357",True,0,1,10,2020,74.66529745762713,70.02246819378757,52.8666,26.4333,105.7333,6.6083,290.7665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-07-30,,PG6,2.4021,0.0,0.0,2.4021,4446.0,
20/21,GHARB,Ben Mansour,CLA,CLA13,11212,TR11212,2020-10-01,"48051,99275",True,0,1,10,2020,164.34711789473687,137.0679259250333,118.4726,104.1122,208.2245,4.9364,572.6173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-08-30,,PG6,4.2934,0.0,0.0,4.2934,4050.0,
20/21,GHARB,Ben Mansour,CLA,CLA14,11211,TR11211,2020-10-01,"24892,98368",True,0,1,10,2020,90.22093333333332,82.54679600205316,67.7316,33.8658,135.4632,8.4665,372.5239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-03-07,,PG6,2.9787,0.0,0.0,2.9787,4226.0,
20/21,GHARB,Ben Mansour,CLA,CLA15,11140,TR11140,2020-10-01,"34291,535",True,0,1,10,2020,149.0482618644068,139.78013904122946,105.5334,52.7667,211.0667,13.1917,580.4335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-30,,PG6,4.3971,0.0,0.0,4.3971,4081.0,
20/21,GHARB,Ben Mansour,CLA,CLA16,11160,TR11160,2020-10-01,4199,True,0,1,10,2020,98.39534573643412,90.02588152772984,73.8684,36.9342,147.7368,9.2335,406.2761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20,,PG6,3.2127,0.0,0.0,3.2127,4121.0,
20/21,GHARB,Jorf El Melha,CLA,CLA1,14010,TR14000,2020-10-01,818,True,0,1,10,2020,92.54263153153153,38.391072647284105,94.47955,53.021025,119.08615,22.402,189.4569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-09,2050-09-30,PG6,3.7486,0.0,0.0,3.7486,3553.0,10956.0
20/21,GHARB,Jorf El Melha,CLA,CLA1,14020,TR14000,2020-10-01,"97627,4",True,0,1,10,2020,32.26691944444445,13.136759124012205,32.92275,18.779625000000003,41.168725,7.7019,65.1364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-09,2050-09-30,PG6,1.551,0.0,0.0,1.551,3553.0,10956.0
20/21,GHARB,Jorf El Melha,CLA,CLA7,13010,TR13000,2020-10-01,"16104,2",True,0,1,10,2020,157.11083445378154,63.39942215254768,160.65955,87.67862500000001,203.320875,37.5847,317.859,81.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-09,2050-09-30,PG2,6.0154,0.0,0.0,6.0154,3553.0,10956.0
20/21,GHARB,Jorf El Melha,CLA,CLA7,13020,TR13000,2020-10-01,"19665,8",True,0,1,10,2020,17.98081440677966,7.208587736355002,18.3775,10.402825,23.198600000000003,4.2833,36.2247,9.2789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-09,2050-09-30,PG2,1.0414,0.0,0.0,1.0414,3553.0,10956.0
20/21,GHARB,Jorf El Melha,CLA,CLA7,13030,TR13030,2020-10-01,677,True,0,1,10,2020,60.18799327731093,24.287848052881724,61.54745,33.589025,77.8907,14.3984,121.7694,31.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-07,2050-09-30,PG6,2.5508,0.0,0.0,2.5508,3190.0,10956.0
20/21,GHARB,Jorf El Melha,CLA,CLA14,11010,TR11000,2020-10-01,"108,35",True,0,1,10,2020,193.9974034334764,82.22704259055767,192.3714,114.3444,254.3807,49.1633,406.1527,104.5118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-09,2050-09-30,PG7,7.8863,0.0,0.0,7.8863,3553.0,10956.0
20/21,GHARB,Jorf El Melha,CLA,CLA14,11020,TR11000,2020-10-01,"75,35",True,0,1,10,2020,13.42733974358974,5.401266263003917,13.76915,7.5835,17.344025,3.1974,27.041,6.9265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-09,2050-09-30,PG7,0.8775,0.0,0.0,0.8775,3553.0,10956.0
20/21,GHARB,Jorf El Melha,CLA,CLA15,12010,TR12000,2020-10-01,"84,2",True,0,1,10,2020,173.77132608695655,73.17911270845336,173.2255,103.086875,230.95555,43.8367,362.1473,93.1882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-09,2050-09-30,PG6,7.0742,0.0,0.0,7.0742,3553.0,10956.0
20/21,GHARB,Jorf El Melha,CLA,CLA15,12020,TR12000,2020-10-01,"101,6",True,0,1,10,2020,17.991839484978538,7.250943601054667,18.4523,10.0372,23.2523,4.2833,36.2247,9.2789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-09,2050-09-30,PG6,1.0411,0.0,0.0,1.0411,3553.0,10956.0
20/21,HAOUZ,Marrakech,CLA,CLA14,12010,TR11402,2020-10-01,"77,15",True,0,1,10,2020,55.96082826855123,22.934344889141524,63.5207,38.5527,71.50800000000001,20.6285,154.9654,68.3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-07-30,,PG6,2.092,0.0,0.0,2.092,4446.0,
20/21,HAOUZ,Marrakech,CLA,CLA14,13010,TR11302,2020-10-01,68,True,0,1,10,2020,11.437268527918782,3.921953102041977,11.2864,10.1188,13.2842,3.2506,27.243,3.2711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-07-30,,PG6,0.628,0.0,0.0,0.628,4446.0,
20/21,HAOUZ,Marrakech,CLA,CLA14,13070,TR11302,2020-10-01,"71,6",True,0,1,10,2020,6.959292307692307,2.4971902372004484,4.9232,4.6915,9.4989,4.6046,9.8464,4.6336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-06-30,2021-01-03,PG6,0.721,0.0,0.721,0.4,4476.0,94.0
20/21,HAOUZ,Marrakech,CLA,CLA14,13110,TR11302,2020-10-01,"73,85",True,0,1,10,2020,6.975862921348313,6.912532252569538,4.3125,4.0829,8.3699,2.807,52.2097,7.2981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-06-30,2021-01-03,PG6,0.667,0.0,0.667,0.4,4476.0,94.0
20/21,HAOUZ,Marrakech,CLA,CLA14,13120,TR11302,2020-10-01,"11446,85",True,0,1,10,2020,9.968214606741574,9.877721136770717,6.1624,5.8343,11.9602,4.011,74.6055,10.4287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-06-30,2021-01-03,PG6,0.781,0.0,0.781,0.4,4476.0,94.0
20/21,HAOUZ,Marrakech,CLA,CLA14,13130,TR11105,2020-10-01,"3045,8",True,0,1,10,2020,90.37892536764706,45.25846615066678,98.8307,64.3368,116.755875,30.2306,517.4077,91.4668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
20/21,HAOUZ,Marrakech,CLA,CLA14,13170,TR11203,2020-10-01,3779,True,0,1,10,2020,34.9265191011236,34.60943836654204,21.5919,20.442,41.9061,14.0539,261.4019,36.5401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-06-30,2021-01-03,PG2,1.732,0.0,1.732,0.4,4476.0,94.0
20/21,HAOUZ,Marrakech,CLA,CLA15,11050,TR11602,2020-10-01,"18739,352",True,0,1,10,2020,12.511511660777384,5.127576269133941,14.2017,8.61945,15.9875,4.612,34.6466,15.2704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30,,PG6,0.7435,0.0,0.0,0.7435,4111.0,
20/21,HAOUZ,Marrakech,CLA,CLA15,11112,TR11602,2020-10-01,"15665,15",True,0,1,10,2020,49.53688345588236,24.80625938167879,54.1693,35.2632,63.994125,16.5694,283.5923,50.1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
20/21,HAOUZ,Marrakech,CLA,CLA10,24101,TR21606,2020-10-01,"43643,57174",True,0,1,10,2020,26.6950968627451,11.749825921370473,27.7532,18.5021,30.5285,8.0408,109.234,37.8567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-30,,PG2,0.937,0.0,0.0,0.937,4081.0,
20/21,HAOUZ,Marrakech,CLA,CLA14,23040,TR21202,2020-10-01,"47828,86964",True,0,1,10,2020,24.414070454545456,11.511745386216235,26.4897,17.934575,29.6773,8.7933,126.1833,26.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059311996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-05-30,,PG6,1.09,0.0,0.0,1.09,4507.0,
20/21,HAOUZ,Marrakech,CLA,CLA14,20218,TR20218,2020-10-01,"20220,2",True,0,1,10,2020,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-01-07,,PG2,1.093,0.0,0.0,1.093,6477.0,
20/21,HAOUZ,Marrakech,CLA,CLA14,20435,TR20435,2020-10-01,"8489,46578",True,0,1,10,2020,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-01-07,,PG6,1.018,0.0,0.0,1.018,6477.0,
20/21,HAOUZ,Marrakech,CLA,CLA14,20436,TR20436,2020-10-01,"35112,63884",True,0,1,10,2020,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-01-07,,PG6,0.85,0.0,0.0,0.85,6477.0,
