Year,Campagne,Region,Site,Famille,Variete,Num Parcelle,CodeTracabilite,yearly_sum_N,yearly_sum_P,yearly_sum_K
2020.0,20/21,GHARB,Ben Mansour,AF,AF1,11240,TR11240,3.9,-1.0,13.8
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA1,13030,TR11130,20.347618967000002,4.645285068,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA12,13010,TR11120,29.65458041,6.770029445,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12010,TR11020,9.232091001,-1.0,0.02342142
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12010,TR11090,90.55419393,30.87138539,0.348980878
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12020,TR11100,36.658543423,14.25878877,1.3154759599999999
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12030,TR11110,55.87281521,25.067143960000003,4.228124584000001
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12040,TR11110,140.74776047999998,47.98318187,0.542418578
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA15,13010,TR11040,5.709037326,-1.0,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA15,13020,TR11040,0.430575119,-1.0,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA16,11010,TR11030,1.3538577059999999,0.578771948,0.578771948
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA16,11020,TR11030,4.865584025,1.210994246,1.2313999359999999
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA16,11030,TR11030,9.874255563,4.221228052,4.251245934
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA6,18030,TR11140,10.445574585,2.384685487,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA7,14010,TR11010,56.487540315,3.493005754,3.8876884040000004
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA10,11010,TR11010,11.75490507,1.216858209,0.193944377
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA10,11020,TR11010,12.51642093,0.985926752,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA10,11030,TR11020,4.933132477,0.388586107,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA11,23010,TR11060,-1.0,-1.0,0.035982118
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA11,23030,TR11070,26.661134093,-1.0,0.006
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA14,22030,TR11090,19.082865904000002,-1.0,0.064751081
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA2,17020,TR23080,-1.0,0.497238167,0.331492111
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA5,17040,TR11070,12.38978816,0.975951805,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA5,17050,TR11060,15.7098689,1.23747676,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA6,17060,TR11080,13.93625271,1.557913108,0.306763512
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA6,17070,TR11080,10.84541991,0.854300897,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA9,22020,TR11030,4.935265617,0.388754136,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA9,22030,TR11040,9.46442151,0.74551874,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA9,22040,TR11040,13.96833895,1.100295294,-1.0
2020.0,20/21,GHARB,Chorf Laghouazi,SPA,SPA1,15010,TR11050,0.755858948,-1.0,0.000739158
2020.0,20/21,GHARB,Chorf Laghouazi,SPA,SPA11,19010,TR11050,29.38938577,2.337080026,0.0768
2020.0,20/21,GHARB,Douar Oued Mahdouma,AF,AF1,11011,TR11011,83.36699999999999,14.535,218.214
2020.0,20/21,GHARB,Douar Oued Mahdouma,AF,AF1,12010,TR12010,67.756026436,39.672000000000004,279.303632
2020.0,20/21,GHARB,Douar Oued Mahdouma,AF,AF1,12020,TR12020,51.127291400000004,4.617,118.83272341
2020.0,20/21,GHARB,Douar Oued Mahdouma,AF,AF1,12050,TR12050,8.157682167,-1.0,28.865644600000003
2020.0,20/21,GHARB,Douar Oued Mahdouma,AF,AF1,13010,TR13010,103.767,20.862,128.976
2020.0,20/21,GHARB,Douar Oued Mahdouma,ORA,ORA2,15060,TR15060,5.712,6.84,42.809999999999995
2020.0,20/21,GHARB,Douar Oued Mahdouma,ORA,ORA4,14010,TR14010,31.293,24.795,179.712
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA1,14010,TR14000,6.42721246,-1.0,49.788130805
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA1,14020,TR14000,2.209714876,-1.0,16.529656961
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA1,17010,TR17010,34.277645039,3.578993779,13.89239178
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA14,11010,TR11000,17.544236392000002,0.113567437,105.613908811
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA14,11020,TR11000,0.917348995,-1.0,7.264789365
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA15,12010,TR12000,15.643376108,0.101247429,94.17098010800001
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA15,12020,TR12000,1.228901485,-1.0,9.732076318999999
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA3,18010,TR18010,10.307630775,1.076239237,4.1775811880000004
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA6,19010,TR19010,51.061344704999996,5.033664,20.69467872
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA7,13010,TR13000,10.783177817,0.085185135,98.99416052699999
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA7,13020,TR13000,1.228901485,-1.0,10.473666007
2020.0,20/21,GHARB,Jorf El Melha,CLA,CLA7,13030,TR13030,4.130955226,-1.0,37.904346393
2020.0,20/21,GHARB,Jorf El Melha,ORA,ORA1,16010,TR16000,64.286780036,10.175949442,218.280613931
2020.0,20/21,GHARB,Jorf El Melha,ORA,ORA1,16060,TR16000,65.718101475,10.4025132,223.140551281
2020.0,20/21,GHARB,Jorf El Melha,ORA,ORA11,16030,TR16030,20.242974628,3.20425889,68.733399427
